landscape_id,wild_biodiversity,ecological_connectivity,ecosystem_services,climate_resilience,community_nature_reciprocity,abiotic_integrity,anthropogenic_pressure,fne_score,score_label,wild_biodiversity_confidence,ecological_connectivity_confidence,ecosystem_services_confidence,climate_resilience_confidence,community_nature_reciprocity_confidence,abiotic_integrity_confidence,anthropogenic_pressure_confidence,confidence,data_coverage_pct
ls_00012,6.83,5.25,6.92,5.89,5.21,4.99,6.7,5.97,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00013,7.84,3.44,1.44,5.39,2.85,3.63,7.9,4.64,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00014,7.24,3.49,1.33,5.45,3.67,2.54,7.48,4.46,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00015,7.4,3.76,1.32,6.14,2.62,3.59,8.14,4.71,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00016,5.77,2.69,5.35,5.48,3.12,3.31,5.49,4.46,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00017,6.94,3.88,3.75,6.1,4.03,4.17,7.69,5.22,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00018,6.48,4.91,7.89,5.82,3.14,4.62,5.57,5.49,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00019,5.92,3.91,6.4,7.65,2.88,8.77,5.58,5.87,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00020,5.82,3.49,5.69,5.33,4.56,3.87,4.75,4.79,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00021,6.19,5.36,8.21,6.07,2.08,8.02,6.47,6.06,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00022,7.97,4.04,4.58,6.23,4.85,3.68,6.81,5.45,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00023,5.96,4.58,7.76,5.82,3.15,7.05,4.88,5.6,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00024,6.64,5.49,7.29,5.91,3.02,7.25,6.27,5.98,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00025,6.43,4.72,6.89,6.21,3.21,7.26,6.14,5.84,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00026,6.33,5.33,6.99,7.49,3.34,6.98,5.62,6.01,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00027,8.26,4.63,4.2,6.48,3.81,4.6,7.18,5.59,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00028,6.23,4.6,7.2,7.64,3.19,7.08,5.71,5.95,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00029,6.05,2.71,3.51,3.82,5.2,6.23,6.29,4.83,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00030,5.97,5.13,9.09,6.58,2.49,6.92,6.37,6.08,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00031,7.74,4.81,5.48,6.29,4.75,3.68,7.27,5.72,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00032,6.06,4.39,8.75,5.58,3.31,6.66,5.36,5.73,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00033,6.34,6.18,7.74,7.36,2.85,8.1,6.33,6.41,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00034,6.96,6.41,8.04,6.43,3.22,6.8,5.59,6.21,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00035,6.46,5.53,8.02,7.0,2.42,8.16,6.65,6.32,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00036,5.63,3.32,4.16,6.25,3.26,4.25,6.01,4.7,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00037,5.38,3.44,3.76,6.25,2.87,3.85,5.14,4.38,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00038,5.46,4.21,4.69,4.51,3.21,3.97,6.13,4.6,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00039,6.36,5.52,7.83,6.8,3.26,7.0,5.42,6.03,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00040,6.93,3.36,3.71,6.18,4.19,4.16,7.28,5.12,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00041,7.31,3.5,1.86,6.71,3.22,3.65,7.78,4.86,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00042,6.28,3.82,4.3,6.39,4.8,4.17,7.27,5.29,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00043,5.94,4.44,7.39,5.69,5.56,4.8,5.44,5.61,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00044,6.79,3.12,1.31,6.34,2.86,4.13,7.86,4.63,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00045,7.13,6.17,8.38,5.2,4.35,4.57,7.25,6.15,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00046,7.6,6.79,8.38,5.63,3.46,4.59,7.54,6.28,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00047,6.84,6.29,8.64,4.9,4.51,4.98,6.68,6.12,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00048,5.23,5.73,8.32,4.18,4.05,4.96,7.03,5.64,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00049,7.24,6.57,8.33,5.2,4.01,4.59,6.93,6.12,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00050,5.66,2.83,5.68,4.93,2.2,3.84,3.55,4.1,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00051,6.07,4.73,7.25,6.43,3.23,4.12,5.29,5.3,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00052,5.76,4.71,6.27,7.6,2.84,8.25,5.41,5.83,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00053,5.35,2.49,5.29,5.64,1.94,6.16,4.21,4.44,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00054,7.29,3.22,5.06,5.09,5.68,7.69,6.99,5.86,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00055,7.66,3.94,4.7,5.96,5.0,8.02,7.62,6.13,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00056,5.89,3.23,3.47,4.07,3.02,3.83,6.63,4.31,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00057,6.22,4.56,3.75,4.28,2.44,3.8,5.3,4.34,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00058,6.73,5.94,6.73,5.58,3.14,5.87,6.13,5.73,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00059,6.27,5.08,6.73,5.86,3.19,5.98,6.25,5.62,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00060,6.98,6.75,7.21,5.18,2.84,6.0,6.49,5.92,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00061,5.12,2.78,3.82,3.46,3.03,3.59,5.36,3.88,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00062,5.93,3.39,4.17,5.12,3.37,3.83,5.72,4.5,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00063,6.0,4.87,5.46,5.96,3.3,5.68,6.09,5.34,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00064,5.84,3.16,5.2,7.1,3.21,7.99,5.76,5.47,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00065,5.9,5.38,7.15,7.52,3.2,7.91,6.11,6.17,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00066,6.18,3.59,4.33,3.4,5.06,5.88,6.2,4.95,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00067,5.28,4.21,4.87,5.41,3.32,3.92,6.23,4.75,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00068,6.34,5.45,5.37,4.88,2.83,3.92,7.14,5.13,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00069,4.88,4.63,6.54,6.62,3.27,6.77,6.13,5.55,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00070,5.91,5.32,7.55,7.23,3.01,8.07,6.42,6.22,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00071,6.05,4.98,7.79,6.75,3.14,7.96,5.89,6.08,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00072,5.31,5.65,8.07,6.8,2.13,8.24,6.11,6.04,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00073,6.52,4.03,3.34,6.51,4.94,3.64,6.66,5.09,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00074,5.36,4.19,6.55,6.67,3.03,8.01,5.75,5.65,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00075,5.56,4.49,7.32,7.02,3.18,8.22,5.98,5.97,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00076,6.64,5.42,7.79,6.74,3.09,8.23,5.54,6.21,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00077,6.56,5.27,8.22,6.47,2.91,8.33,6.02,6.25,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00078,6.15,4.67,7.31,6.89,3.09,8.26,5.98,6.05,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00079,5.97,3.98,6.69,6.31,3.26,8.11,5.58,5.7,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00080,5.54,3.94,7.3,6.14,2.94,6.66,5.07,5.37,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00081,5.39,5.61,8.26,7.05,2.79,8.37,6.09,6.22,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00082,6.29,4.44,8.1,7.44,2.52,7.17,4.35,5.76,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00083,5.39,4.35,7.32,7.01,2.67,6.81,5.16,5.53,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00084,5.53,4.1,5.23,4.18,3.17,4.56,5.63,4.63,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00085,5.81,3.83,7.23,6.92,2.97,7.86,4.93,5.65,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00086,5.22,3.3,4.61,4.76,2.95,5.86,5.62,4.62,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00087,5.46,3.59,4.87,4.39,3.02,5.72,5.88,4.7,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00088,5.79,3.34,4.37,6.52,4.98,7.23,5.69,5.42,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00089,5.25,1.85,3.69,4.48,4.67,6.57,4.62,4.45,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00090,5.87,4.08,6.73,5.6,3.29,5.57,5.75,5.27,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00091,6.29,4.95,7.1,7.1,3.04,7.96,5.83,6.04,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00092,6.33,5.3,8.61,5.48,3.08,9.44,5.76,6.29,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00093,6.14,6.05,8.0,5.5,3.13,7.49,5.75,6.01,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00094,7.06,3.39,2.11,6.48,3.22,3.66,7.41,4.76,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00095,6.15,5.51,7.69,5.89,2.98,7.39,5.81,5.92,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00096,6.73,6.47,8.01,5.47,3.02,7.52,5.73,6.14,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00097,6.36,5.67,6.71,7.57,3.37,6.84,5.95,6.07,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00098,6.43,6.01,7.23,7.6,3.12,6.91,6.23,6.22,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00099,5.96,4.73,7.94,6.17,3.14,7.45,5.43,5.83,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00100,6.35,4.91,7.84,6.77,2.69,8.0,5.94,6.07,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00101,5.82,4.91,7.36,7.21,3.17,8.06,5.64,6.02,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00102,6.22,4.01,5.83,5.17,3.01,4.78,5.57,4.94,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00103,6.2,3.98,6.19,7.57,3.12,6.85,5.33,5.61,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00104,6.36,3.53,5.55,8.49,4.86,8.26,5.81,6.12,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00105,6.71,4.75,7.49,8.02,3.0,7.15,5.25,6.05,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00106,6.88,6.02,7.78,7.24,2.72,7.17,4.83,6.09,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00107,8.04,3.58,1.48,5.74,2.58,3.61,8.01,4.72,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00108,8.03,3.69,1.34,5.96,2.58,3.66,8.08,4.76,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00109,6.64,5.8,7.26,6.34,2.9,6.85,6.34,6.02,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00110,5.61,2.88,4.16,5.95,4.87,7.33,5.2,5.14,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00111,7.05,3.58,1.31,5.36,2.58,3.51,8.27,4.52,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00112,5.3,2.37,4.26,4.63,2.97,3.82,4.51,3.98,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00113,6.51,5.44,8.58,6.86,3.16,8.81,6.19,6.51,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00114,6.55,5.77,7.54,6.75,3.24,3.99,5.79,5.66,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00115,5.45,3.63,6.17,7.85,2.87,8.41,5.42,5.69,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00116,6.81,3.89,3.91,6.41,4.13,8.13,6.62,5.7,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00117,7.51,6.84,6.56,5.64,2.76,6.74,6.72,6.11,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00118,6.45,5.23,6.54,7.36,4.35,6.99,5.17,6.01,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00119,7.16,5.95,6.36,5.85,3.46,4.95,7.68,5.92,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00120,7.41,6.85,8.52,5.53,4.7,4.46,6.88,6.34,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00121,5.67,4.98,8.74,6.4,3.23,6.7,5.66,5.91,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00122,6.64,3.76,5.72,4.65,2.64,6.31,7.87,5.37,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00123,5.88,4.25,6.22,6.25,3.22,7.33,5.7,5.55,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00124,6.58,5.01,7.94,6.61,3.3,9.33,5.51,6.33,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00125,6.54,5.52,6.3,4.46,3.07,5.81,6.59,5.47,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00126,6.81,5.35,6.72,4.96,2.79,5.9,6.54,5.58,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00127,7.16,6.19,7.13,4.61,2.61,5.89,6.57,5.74,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00128,7.32,6.43,8.35,6.22,2.76,7.08,6.8,6.42,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00129,6.54,5.96,7.08,7.29,3.31,6.92,5.95,6.15,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00130,7.42,3.56,1.79,6.11,3.95,3.66,7.24,4.82,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00131,7.21,5.92,8.14,6.31,2.93,6.89,6.46,6.27,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00132,7.38,4.9,5.35,6.38,4.78,3.68,7.27,5.68,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00133,6.48,4.97,7.84,5.53,3.19,4.56,5.57,5.45,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00134,7.32,4.42,5.4,3.45,5.89,5.9,7.29,5.67,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00135,7.82,4.6,5.72,4.24,5.85,5.97,7.15,5.91,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00136,7.03,3.55,4.27,6.05,4.7,4.17,6.81,5.23,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00137,6.31,4.6,6.55,5.25,3.07,5.45,6.14,5.34,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00138,5.71,3.92,5.27,4.58,3.3,5.87,6.15,4.97,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00139,7.35,5.97,8.77,4.79,3.46,4.88,7.04,6.04,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00140,6.24,5.07,7.88,7.68,3.12,7.26,5.35,6.09,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00141,5.62,1.81,3.6,3.49,4.62,5.84,4.17,4.16,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00142,5.41,2.77,3.57,5.21,2.77,3.77,5.06,4.08,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00143,7.57,3.62,2.13,6.5,3.68,3.64,7.93,5.01,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00144,5.46,2.21,4.45,5.84,2.62,3.49,4.4,4.07,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00145,5.99,4.4,7.93,6.08,3.28,8.16,5.83,5.95,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00146,5.21,2.31,6.56,6.12,2.23,7.49,3.94,4.84,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00147,6.06,5.18,7.65,7.35,2.95,6.79,5.26,5.89,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00148,6.11,3.81,6.05,6.13,3.16,7.05,5.47,5.4,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00149,5.7,4.36,6.47,6.7,4.37,4.43,5.02,5.29,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00150,5.37,3.79,6.01,7.39,4.07,4.18,4.41,5.03,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00151,5.92,3.93,7.31,6.85,3.2,8.07,5.33,5.8,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00152,7.1,5.49,7.74,7.59,3.09,7.2,5.37,6.23,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00153,6.05,4.65,7.65,6.72,3.01,8.14,5.96,6.03,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00154,5.99,3.78,4.36,6.57,2.91,3.99,5.62,4.75,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00155,6.29,5.78,7.63,6.86,3.08,4.25,5.65,5.65,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_00156,7.29,5.39,7.97,7.06,2.98,7.2,5.2,6.16,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
